author,text
TheDarkOne1987,Raffles Place stabbing a case of armed robbery: Police http://t.co/5aMXQu6y45
atlantanurse,#ATL Authorities search for armed robbery suspect in DeKalb that led to school lockdown   http://t.co/j9dqybNStO
KTVF11,BREAKING- Police attempt to locate suspect in alleged armed robbery http://t.co/XpsSpWY78v
StephanieW_Ktvf,BREAKING- Police attempt to locate suspect in alleged armed robbery - http://t.co/C8upcr0P6j http://t.co/1PKWJoc3Cq via @AddThis
DetroitScanner,"NW: Armed Robbery-Caller hiding in store. 5 perps with guns, black vehicle. No further. http://t.co/2CxiBiHGzc (Delayed Tweet)"
billiegirltoo,accurately describing the strong-armed robbery Brown committed shortly before his death &lt;&lt;&lt;ALLEGED http://t.co/OnQrjrN6f3
speakka02,@EnuguPolice The new Opi junction-Ugwuogo Nike road increasingly dangerous due to armed robbery incidents. Police PATROL needed not chk pts
KTVF11,"FPD &amp; Troopers responding to report of armed robbery at Safeway Liquor store, suspect fled and was tracked to... http://t.co/Z4tf9ZGidO"
StephanieW_Ktvf,"FPD &amp; Troopers responding to report of armed robbery at Safeway Liquor store, suspect fled- developing. http://t.co/olShgC4cP8"
AngieWagg,Raffles Place stabbing a case of armed robbery: Police - http://t.co/QNc0VMwls9
dslword,Raffles Place stabbing a case of armed robbery: Police http://t.co/tR4WO9tKxy
LismoreRadio,CASINO  Police have received a report about a male assaulting a female in Sandilands Street with children near... http://t.co/A5fQk5l36f
kq2,ST. JOSEPH POLICE: Avoid the area of Pickett Rd between Ajax Rd and Belt Hwy due to an accident. #KQ2
tricky_bones,whoever the arson is in my neighborhood needs to die or help themselves. my backyard just about went up in smoke
KAPPKVEW,Possible Arson This Morning at Local Radio Station's Antenna Location  http://t.co/GbprMDV3u1 #WAState #Kennewick
JasonKAPPKVEW,Possible Arson This Morning at Local Radio Station's Antenna Location  http://t.co/H1LzlYMf49 #WAState #Kennewick
suburban40,Sioux City Iowa. School put on lockdown during arson investigation. 1 in custody. http://t.co/e835CkHe1O
pulistbook,"http://t.co/fWl7c3089G #Esperanza The Esperanza Fire: Arson, Murder and the Agony of Engine 57"
cmcforum,"Last night, someone intentionally set numerous fires around North Quad. Learn more: Arson in Appleby | http://t.co/wBxMQXHPxj"
hekktor18,I get a strange vibe from this place #creepy #burnedbuilding #scary #ghetto #arson #abandoned http://t.co/haaggBrkpP
MwambiTimo,"Arson charges from Winthrop, Monmouth, Clinton lead indictments: A man who called 911 to report that a Clinton... http://t.co/2tJ3rgT639"
Disastrolizer,A strong undersea earthquake hit eastern...  #disaster http://t.co/qsabVdKaIc http://t.co/tHFAYXQ86y
ukweathereye,"Earthquake |  M 3.4 Amatignak Island, Alaska"
AlaskaQuakes,"Earthquake: M 3.4 - 71km E of Amatignak Island, Alaska:  http://t.co/zlJWScMViv"
Chris_Geno_51,@PhilBeckons: @Chris_Geno_51 I felt the vibration of it  It caused a 3.6 earthquake throughout North America
TodoTiempo,"#Temblor♨ M 3.4, 71km E of Amatignak Island, Alaska http://t.co/NQeAmU8YCb #Earthquake #Sismo"
SoCalEq,"USGS reports a M1.15 #earthquake 5km S of Redlands, California on 11/16/14 @ 3:08:08 UTC http://t.co/ZBNZvvORVT #quake"
everyEarthquake,"USGS reports a M1.15 #earthquake 5km S of Redlands, California on 11/16/14 @ 3:08:08 UTC http://t.co/jfw26Sy1GX #quake"
QuakesToday,"1.7 magnitude #earthquake. 43km W of Willow, Alaska http://t.co/pEV4xkd5XG"
earthquakesnow,Earthquake: M 3.4 quake strikes near Amatignak Island in Alaska - http://t.co/yCvqzczh6x #earthquake #quake
Scotland_Free,Earthquake felt in southern Scotland - BBC News http://t.co/CRlKqaNJnK
MalaysiaForum_,Met Dept: Indonesia's 7.2-magnitude earthquake too far away to affect Malaysia - The Star Online http://t.co/Eiu8AAVujt
kaiforpresident,7.3 Magnitude earthquake in Indonesia. :O
notimicharts,"#Sismo #Earthquake M 2.0, 12km S of Rancho Palos Verdes, California http://t.co/W8wSrCxs1Q"
earthshook,"3.4 earthquake occurred at 15 Nov 2014 04:10:36 UTC, 71 km (44 mi) E of Amatignak Island, Alaska. http://t.co/JY4dEz5c6R"
Newsium,USGS: 7.3-magnitude earthquake strikes off Indonesia. http://t.co/Ik...  http://t.co/vuWhW4ZvKo
nirasraya23,@Shaheer_S  pls take care of ur self .........i heard there was earthquake in indo yesterday so pls be save .......... we all love u
RaivooNET,"Earthquake: M 4.6 - 259km SE of Lambasa, Fiji http://t.co/ECcmdkYy2q"
radixextreme,"EarthQuake Update: M 4.6 - 259km SE of Lambasa, Fiji: DYFI? - ITime2014-11-16 01:55:32 UTC2014-11-15 13:55:32 ... http://t.co/47GmaU2uwU"
recentquakes,"Earthquake M 4.6 - 259km SE of Lambasa, Fiji"
ArizonaNewsnet,"USGS Earthquake: M 5.0 - 131km NNE of Bristol Island, South Sandwich Islands http://t.co/4PLAmWYUbi"
Disaster_Update,"#Disaster M 4.6, 259km SE of Lambasa, Fiji: Sunday, November 16, 2014 01:55:32 UTCSatur... http://t.co/KJ0OLKSk2h http://t.co/mOtje9ohBZ"
SlowestPoison,Indonesia Earthquake Triggers Tsunami Warning - Sky News http://t.co/OhN4Id5t1U
ScotlandIskocya,Earthquake felt in southern Scotland - BBC News: Earthquake felt in southern ScotlandBBC NewsThe British Geolo... http://t.co/N1uKilvCBe
naritaceh,Small Tsunami Waves after Strong Earthquake in Maluku » http://t.co/paM4ZuAWcY
naritaceh,Small Tsunami Waves after Strong Earthquake in Maluku: A powerful 7.1-magnitude earthquake rocked the Maluku I... http://t.co/btsnEjrOBc
Taiwan_Agent,"Indonesia tsunami alert after earthquake, could reach Taiwan, Japan - The Australian http://t.co/J4KK6yXXvc #taiwan"
benbuckley21,HURRICANE SIRENS!!!
Hanifsevenzero,Hurricane is coming on sunday morning ☁⚡#VSCO http://t.co/q6X4SMjRZm
coachDKH,@unclebarkycom -Hurricane Warning on south beach...???
MuchMind,"● 3,366th Day Since 29-Aug-2005 -- Hurricane Katrina Devastated New Orleans | http://t.co/qP9Y70XtlR"
love_chelsbels,this in one of those times the tv need to display a tornado warning thing 😂😂😂
fygyjizibome,"Tornado Warning for Anne Arundel, Howard and Prince Georges Counties in MD until 130 PM EDT"
wrigjo01,"Ummmm....,they just said theres a tornado warning out here"
deetzyheyyy,Tornado warning
STEDSTEVE,@Alpha_Nest sure it just wasn't a tornado warning? Windddy
burtonramsey,"WTFF?!? A tornado warning siren is going off, outside?!? We don't have cable in here, so I'm clueless as to... http://t.co/y5RzmqFIqf"
TLW3,Poland Central School sounds 'tornado warning' for girls soccer team http://t.co/ozDnXuxave #weather
gcmcTornado,"#tornado Indonesia: 7.3-magnitude quake in Indonesia, tsunami warning issued http://t.co/UTiQd4qKnQ #crisismanagement"
Ezada13,"WARNING this is the emergency weather alert system, a DogToddler Tornado has touched down in the… http://t.co/qyKEo02BTR"
kibbel_laverne,Work during a tornado warning... #Funfun
BrittKneeG,Tornado Warning http://t.co/8rz6G9JoWY
CNYNewsSource,(WKTV) Poland Central School sounds 'tornado warning' for girls soccer team:  http://t.co/NPtaU59HjQ
MHSBlueandGold,Tornado Warning Hits State Tournament http://t.co/Cd9mLbZpTq
GerdaDS,@JacaNews 1pm: Charges laid by DA against police after chaos in #Parly &amp; warning of severe storms after #TORNADO in Carolina
JacaNews,@JacaNews 1pm: Charges laid by DA against police after chaos in #Parly &amp; warning of severe storms after #TORNADO in Carolina
endofdiend,Hammock - Tornado Warning http://t.co/T41nvafgMa
PedroSweatshirt,"There has been a tornado warning and it's Code Red , I don't know the codes but , Red sounds serious"
ComptonKnows,Alright play the hurricane siren already
burtonramsey,"WTFF?!? A tornado warning siren is going off, outside?!? We don't have cable in here, so I'm clueless as to... http://t.co/y5RzmqFIqf"
riaaaa_t,Really not feeling too reassured by this siren that sounds like either a tornado or someone broke out of prison...
shealynkirkman,@AustinKellerman j/k we've have just hit rock bottom. it's now a tornado siren
chachasikes,What could explain a loud siren in an unincorporated village in the California redwoods? Fire? Teenagers? Tornado alerts? #campmeeker
louisvilleky_dp,"False alarm: Tornado siren sounds, NWS tweets out old alerts #louisvilleky http://t.co/LjiuwMzoEB"
roses7184,"There is this very odd alarm going off somewhere in DTLA, and it's freaking me out. It kind of sounds like a tornado siren."
Hobo_Princess,Did the tornado siren seriously just come on.
Brooke_9895,Why is the stupid tornado siren going off right outside my window...
nchute,@LafayetteINPD are searching for a homicide suspect out of Chicago. He is considered armed &amp; dangerous. More info coming soon to @WLFI
Jessicaslawnow,“Dangerous” suspect back on the streets http://t.co/63KxkON0LL
tobreakthenews,"Police suspect admitted kidnapping Philadelphia woman's ATM kills 10 in Virginia, says it says can be extra dangerous this story. http://..."
danmckinney,APD still searching ground and air. Suspect is considered to be armed and dangerous #9NEWS http://t.co/YkNmZIgC3x
TinaJensenKRQE,Accused kidnapper back on the streets http://t.co/EgEZuLgDZx via @krqe #abq
AXJPRESS,This Monster is back on our streets http://t.co/XxGnjqrS0e
TheUsNewz,“Dangerous” suspect back on the streets #Albuquerque http://t.co/t8MspIUHrV
krqe,A man accused of taking a little girl from a parking lot who was chased down by the girl's mother is now out of jail http://t.co/mBjhXVI7U6
Lawpro19,Joshua Lee Duarte is considered armed and dangerous. http://t.co/vXcR4vu3YN
_Flamingtayo,Police searching for suspect in Sun Tran stabbing: Joshua Lee Duarte is considered armed and dangerous. http://t.co/jpuAvGEBAU
_Flamingtayo,Police searching for suspect in Sun Tran stabbing: Joshua Lee Duarte is considered armed and dangerous. http://t.co/d1t3EImnBJ
CamdenCountyPD,Help us locate MURDER SUSPECT Elliot Knock.  He is very dangerous and needs to be removed from the streets ASAP. http://t.co/rGRTPAhwGy
TheSyndicateHQ,World's End: 'Dangerous predator' GUILTY of double rape &amp; murder in 'double ... - http://t.co/rWIJjzdPil http://t.co/RuvbSwFLZo
KDRV,The Klamath County DA says  the unidentified suspect who shot and killed Tyler Nelson is considered armed &amp; dangerous http://t.co/B9iJ1MnDVt
LiveCrimeAlerts,@KCBSKCALDesk @ABC7 @KTLAMorningNews #BREAKINGNEWS dangerous situation at El Paseo  in #southgate Possible car jacking suspect barricaded
Distribua_plc,"BREAKING NEWS! @SHeavron escapes with his life after close encounter with a local resident, we believe the suspect was armed and dangerous."
rolex_agent,FBI Seeks Armed and Dangerous Serial Robbery Suspect Tied to New Canaan ... - NECN #rolex http://t.co/tvJM7TGBfP
KERHKR02,"FBI Seeks Armed, Dangerous Rolex Robbery Suspect http://t.co/0PReEBR6i4"
NYPDnews,WANTED: M/B for shooting two people (M/19 &amp; 16) at 385 Fountain Ave #Brooklyn 11/12 at midnight. Call #800577TIPS http://t.co/4y7wSB1zHg
NYPDnews,WANTED: 2 suspects for robbery &amp; assaulting a F/83 on Longfellow Ave #Tremont #Bronx 11/10 6pm. Call #800577TIPS http://t.co/yhTlGOmuQw
NYPDnews,"Meet the @NYPDChiefofDept, James O'Neill, and connect with him on Twitter. http://t.co/oKDpLpQjjg"
NYPDnews,WANTED: M/H &amp; M/B armed robbery of a livery cab near Castle Hill Ave/Cross Bx Expwy on 11/10 8pm. Call #800577TIPS http://t.co/yz5JEQ6Or7
NYPDnews,Search Warrant In Queens Conducted By @NYPD106PCT Results In Weapons &amp; Drugs Being Taken Off The Street http://t.co/jSflg6yIqq
NYPDnews,"WANTED: 2 M's for robbery of M/83, near Batchelder St/Ave U in #Brooklyn 11/10, 5pm. Call #800577TIPS http://t.co/25EZv3piAP"
NYPDnews,WANTED: 2/M’s for armed robbery of a jewelry store at 23 W. 47th St Man. 11/11. Call #800577TIPS @NYPDMTN http://t.co/SqLyYARi2y
NYPDnews,WANTED: M/B for armed robbery at 1874 Fulton Ave on 10/24 7pm. Call #800577TIPS http://t.co/nJzxWQzv3X
bostonpolice,Death Investigation in the area of 274 Main Street in Charlestown. To help solve - text 'TIP' to CRIME (27463) http://t.co/mkF9hPUWUS
bostonpolice,Update: Suspect (Paulo Rosa) wanted in the Death Investigation in area of 45 Bowdoin Street found deceased. http://t.co/lqSoPlYEnI
bostonpolice,Anyone with info relative to Rosa’s whereabouts is asked to call #BPD Homicide detectives at (617) 343-4470. http://t.co/zjhq7bLsZC
bostonpolice,Community members who see Paulo Rosa should not approach him and are asked to call police immediately. http://t.co/fWoaCbGaPU
bostonpolice,Suspect (Paulo Rosa) is known to drive a blue G37 Inifiniti Coupe with a Mass License Plate that reads: 1LZ-224. http://t.co/Mgv5INiEtl
bostonpolice,#CommunityAlert: BPD Release Photo of Suspect Wanted for Murder http://t.co/vOVGph9fRt http://t.co/g8IiG5XS5b
DurhamCityA,** Appeal for information following attempted burglary **  Officers attended an address in Dryburn View at... http://t.co/n3czADBuv9
DurhamCityA,BURGLARY – Go-North East (CHESTER-LE-STREET)  The below male is believed to be responsible for a Burglary at... http://t.co/NexaiWMcea
DurhamCityA,** ROAD CLOSURE **  We can confirm that the A167 at Kimblesworth has been re-opened in both directions following the RTC earlier.
DurhamCityA,"*** FOGGY CONDITIONS, BEWARE ***  @DurhamRPU  There is a blanket of fog covering Durham and surrounding areas... http://t.co/6DkAsxcq8r"
DurhamCityA,RT @positivepoluk: CALLING ALL POLICE ACCOUNTS  please help us get #superjosh http://t.co/iBumqOtVtV trending in MEMORY Joshua Wilson pleas…
DLama_WDRB,Police say the suspect in several local armed robberies is behind bars tonight. You can catch my second report at 10:30 @WDRBNews
DallasTX_News,Dallas officer breaks hand capturing armed robbery suspect after chase..  #dallas #news
robbie_gilbert,RT @MeanStreetsOMA: Opening segment of COPS from Omaha features Officers Nick Yarpe Jordan Brandt pursuing an armed carjacking suspect.
atlantanurse,#ATL Authorities search for armed robbery suspect in DeKalb that led to school lockdown   http://t.co/j9dqybNStO
KTVF11,BREAKING- Police attempt to locate suspect in alleged armed robbery http://t.co/XpsSpWY78v
StephanieW_Ktvf,BREAKING- Police attempt to locate suspect in alleged armed robbery - http://t.co/C8upcr0P6j http://t.co/1PKWJoc3Cq via @AddThis
Nipsey_Lustle,RT @ranjisinha: Possible 3 block perimeter put up IAO Atlantic &amp; Liberty Long Branch for standoff w armed suspect. @News12NJ
SLCScanner,SLCPD responding to 1100 E 2100 S Strong armed theft. A Male tried to steal a book from Barnes/Noble suspect got into fight w/manager.
970KFBX,"RT @KTVF11: FPD &amp; Troopers responding to report of armed robbery at Safeway Liquor store, suspect fled and was tracked to... http://t.co/Z4…"
KTVF11,"FPD &amp; Troopers responding to report of armed robbery at Safeway Liquor store, suspect fled and was tracked to... http://t.co/Z4tf9ZGidO"
StephanieW_Ktvf,"FPD &amp; Troopers responding to report of armed robbery at Safeway Liquor store, suspect fled- developing. http://t.co/olShgC4cP8"
JorieAnn10,When choosing this school I did not envision myself locked in a bathroom twice in the same semester hiding from an armed suspect at large.
orozconlech,RT @latimes: A manhunt is underway for an armed robbery suspect in the area of 70th Street and Figueroa in South L.A.: http://t.co/Za3gePHV…
ranjisinha,Possible 3 block perimeter put up IAO Atlantic &amp; Liberty Long Branch for standoff w armed suspect. @News12NJ
jls5243,RT @smrnews: Albertville police searching for armed robbery suspect (subscriber content) http://t.co/6zq437YqVC http://t.co/kilV9hXJwO
MechelLie_,"RT @LANow: Armed suspect arrested after manhunt in Pico Rivera, deputies say http://t.co/rZBmmihcK2"
MechelLie_,RT @latimes: A manhunt is underway for an armed robbery suspect in the area of 70th Street and Figueroa in South L.A.: http://t.co/Za3gePHV…
MechelLie_,RT @LANow: Large manhunt underway for armed robbery suspect in South LA http://t.co/QwTO4D0ZLz
smrnews,Albertville police searching for armed robbery suspect (subscriber content) http://t.co/6zq437YqVC http://t.co/kilV9hXJwO
blanc_papillon7,RT @IamPolarDude: STRONG-ARMED ROBBERY Report released 8/15/14 which PROVES radio audio of #MikeBrown 's SUSPECT description #Ferguson  htt…
YeLATimes,"Avast!  Armed suspect arrested after manhunt in Pico Rivera, deputie  http://t.co/gV6KpdYQAo   #jvasquez #picorivera"
TheTruth24US,Denver cops in manhunt for suspect who shot officer.. http://t.co/onANfDAtsq
MechelLie_,RT @latimes: A manhunt is underway for an armed robbery suspect in the area of 70th Street and Figueroa in South L.A.: http://t.co/Za3gePHV…
MechelLie_,RT @LANow: Large manhunt underway for armed robbery suspect in South LA http://t.co/QwTO4D0ZLz
TheTruth24US,Denver cops in manhunt for suspect who shot officer. http://t.co/onANfDAtsq
YeLATimes,"Avast!  Armed suspect arrested after manhunt in Pico Rivera, deputie  http://t.co/gV6KpdYQAo   #jvasquez #picorivera"
1001ptUS,Denver cops in manhunt for suspect who shot officer (http://t.co/pbHbZhyVTz) http://t.co/cTurL5xSFO http://t.co/DVQJjkG2c6
lesolivagant,Devastating situation turned into something incredible. #Yellowstone #Nature #Wildfire http://t.co/eMa1a8fiLJ
thenletmemelt,smells like gasoline/burning everywhere in hill house due to a fire down the street. it's a throwback to when that car exploded on midland
CamsAvocado,HOLY SHIT THERES AN ALARM GOING OFF DOWN THE STREET AND SOMEONES HOUSE IS ON FIRE WTF
alex_burness,Latest from Boulder Fire: The house on 18th Street between Baseline and Cascade is a total loss. Cause of the fire is still unknown.
SeanPPeltier,RT @PerryRussom: House on fire at 62 Commodore Street in Providence. Collecting info now. @wpri12 http://t.co/Fvr7q9DHj4
HalifaxAgain,RT gwomand: Fighting fire with water. Clifton Street house fire. #halifax http://t.co/a7aet6snZS
HalifaxAgain,RT gwomand: Saturday night house fire on Clifton Street. Everyone seems alright. #halifax http://t.co/xIEeCimGwJ
